RELATED DOCUMENT PATH,CATEGORY,SUB CATEGORY,DESCRIPTION,PRICE
SITE_DOCUMENTS/PRICE_LISTS/Shotguns_Retail_Price_List.csv,SHOTGUNS,HT,HT: extra charge for 28 - .410 ga. barrels on 12 - 20 ga. frame,"$1,680.00"
SITE_DOCUMENTS/PRICE_LISTS/Shotguns_Retail_Price_List.csv,SHOTGUNS,HT,HTS: extra charge for 28 - .410 ga. barrels on scaled frame,"$4,380.00"
SITE_DOCUMENTS/PRICE_LISTS/Shotguns_Retail_Price_List.csv,SHOTGUNS,MX8,MX8: extra charge for 28 - .410 ga barrels on 12 - 20 ga frame,"$1,680.00"
SITE_DOCUMENTS/PRICE_LISTS/Shotguns_Retail_Price_List.csv,SHOTGUNS,MX2000,MX2000: extra charge for 28 - .410 ga. barrels on 12 - 20 ga. frame,"$1,680.00"
SITE_DOCUMENTS/PRICE_LISTS/Shotguns_Retail_Price_List.csv,SHOTGUNS,MX2000,MX2000S: extra charge for 28 - .410 ga. barrels on scaled frame,"$4,380.00"
SITE_DOCUMENTS/PRICE_LISTS/Shotguns_Retail_Price_List.csv,SHOTGUNS,MX12,MX12: extra charge for 28 - .410 ga barrels on 12 ga frame,"$1,680.00"
SITE_DOCUMENTS/PRICE_LISTS/Shotguns_Retail_Price_List.csv,SHOTGUNS,MX20,MX20: extra charge for 28 - .410 ga barrels on 20 ga frame,"$1,680.00"
SITE_DOCUMENTS/PRICE_LISTS/Barrels_Retail_Price_List.csv,BARRELS,MX,Extra charge for adjustable rib,"$1,540.00"
SITE_DOCUMENTS/PRICE_LISTS/Barrels_Retail_Price_List.csv,BARRELS,HT,Extra charge for adjustable rib for HT models,"$2,330.00"
SITE_DOCUMENTS/PRICE_LISTS/Barrels_Retail_Price_List.csv,BARRELS,SUB-GAUGE,Extra charge for 28 or .410ga barrels on all ga frame,"$1,680.00"
SITE_DOCUMENTS/PRICE_LISTS/Barrels_Retail_Price_List.csv,BARRELS,TRAMLINE,Extra charge for tramline rib,$540.00
SITE_DOCUMENTS/PRICE_LISTS/TriggerGroups_Retail_Price_List.csv,TRIGGER GROUPS,SPARE TRIGGER,For adjustable trigger,$915.00
SITE_DOCUMENTS/PRICE_LISTS/TriggerGroups_Retail_Price_List.csv,TRIGGER GROUPS,SPARE TRIGGER,For selector,$915.00
SITE_DOCUMENTS/PRICE_LISTS/TriggerGroups_Retail_Price_List.csv,TRIGGER GROUPS,SPARE TRIGGER,For mirror version,$315.00
SITE_DOCUMENTS/PRICE_LISTS/StocksAndForends_Retail_Price_List.csv,STOCKS & FORENDS,WOOD,Extra charge for pair = +30%,
SITE_DOCUMENTS/PRICE_LISTS/StocksAndForends_Retail_Price_List.csv,STOCKS & FORENDS,WOOD,Extra charge for adjustable comb,$540.00
SITE_DOCUMENTS/PRICE_LISTS/StocksAndForends_Retail_Price_List.csv,STOCKS & FORENDS,WOOD,Extra charge for “finger grip”,$890.00
SITE_DOCUMENTS/PRICE_LISTS/StocksAndForends_Retail_Price_List.csv,STOCKS & FORENDS,WOOD,Extra charge for glove grip,$540.00
