Item Type,Product Name,Product Type,Product Code/SKU,Brand Name,Product Description,Price,Category,Allow Purchases?,Product Visible?,Track Inventory,Product Condition,Show Product Condition?,Product Custom Fields,Product Image Path - 1,Product Image Path - 2,Product Image Path - 3,Product Image Path - 4,Product Image Path - 5,Product Image Path - 6,Product Image Path - 7,Product Image Path - 8,Product Image Path - 9,Product Image Path - 10,Product Image Path - 11,Product Image Path - 12
Product,103 - Top lever - 12 - Removable,P,103-12-Removable,Perazzi,Top lever - 12 - Removable,489.44,Gauge/12; Trigger Type/Removable,Y,Y,none,New,Y,Part Number=103,103-2---old-style.jpg,103-3---old-style.jpg,103mx12-1.jpg,103mx12-2.jpg,103mx12-3.jpg,103os-1.jpg,,,,,,
Product,105 - Safety - 12 - Removable,P,105-12-Removable,Perazzi,Safety - 12 - Removable,151.32,Gauge/12; Trigger Type/Removable,Y,Y,none,New,Y,Part Number=105,105-1.jpg,105-2.jpg,105-3.jpg,105-4.jpg,,,,,,,,
Product,106 - Link trigger release - 12 - Removable,P,106-12-Removable,Perazzi,Link trigger release - 12 - Removable,70.97,Gauge/12; Trigger Type/Removable,Y,Y,none,New,Y,Part Number=106,106-1.jpg,,,,,,,,,,,
Product,107 - Lock trigger plate - 12 - Removable,P,107-12-Removable,Perazzi,Lock trigger plate - 12 - Removable,58.92,Gauge/12; Trigger Type/Removable,Y,Y,none,New,Y,Part Number=107,107-1.jpg,107-2.jpg,,,,,,,,,,
Product,109 - Right ejector trip rod - 12 - Removable,P,109-12-Removable,Perazzi,Right ejector trip rod - 12 - Removable,58.92,Gauge/12; Trigger Type/Removable,Y,Y,none,New,Y,Part Number=109,109-1.jpg,109-2.jpg,,,,,,,,,,
Product,110 - Left ejector trip rod - 12 - Removable,P,110-12-Removable,Perazzi,Left ejector trip rod - 12 - Removable,58.92,Gauge/12; Trigger Type/Removable,Y,Y,none,New,Y,Part Number=110,110-1.jpg,110-2.jpg,,,,,,,,,,
Product,111 - Locking piece top lever - 12 - Removable,P,111-12-Removable,Perazzi,Locking piece top lever - 12 - Removable,84.36,Gauge/12; Trigger Type/Removable,Y,Y,none,New,Y,Part Number=111,111-and-111r---2.jpg,111-and-111r.jpg,111.jpg,111r.jpg,,,,,,,,
Product,112 - Cocking bar - 12 - Removable,P,112-12-Removable,Perazzi,Cocking bar - 12 - Removable,171.40,Gauge/12; Trigger Type/Removable,Y,Y,none,New,Y,Part Number=112,112-1.jpg,112-2.jpg,,,,,,,,,,
Product,113 - Top firing pin - 12 - Removable,P,113-12-Removable,Perazzi,Top firing pin - 12 - Removable,80.35,Gauge/12; Trigger Type/Removable,Y,Y,none,New,Y,Part Number=113,113-1.jpg,113-2.jpg,,,,,,,,,,
Product,114 - Bottom firing pin - 12 - Removable,P,114-12-Removable,Perazzi,Bottom firing pin - 12 - Removable,80.35,Gauge/12; Trigger Type/Removable,Y,Y,none,New,Y,Part Number=114,114-1.jpg,,,,,,,,,,,
