DATABASE_ID_SANITY,MODEL_NAME_SANITY,BASE_MODEL_SANITY,PLATFORM_SANITY,TRIGGER_TYPE_SANITY,TRIGGER_GROUP_SPRINGS_SANITY,GRADE_SANITY,COMBO_SANITY,COMBO_TYPE_SANITY,GAUGE_1_SANITY,GAUGE_2_SANITY,BARREL_CONFIG_SANITY,DISCIPLINE_SANITY,RIB_TYPE_SANITY,RIB_ADJUSTABLE_NOTCH_SANITY,RIB_HEIGHT_SANITY,RIB_STYLE_1_SANITY,RIB_STYLE_2_SANITY,RIB_STYLE_3_SANITY,CATEGORY_SANITY,IMAGE_LOCAL_PATH,IMAGE_FALLBACK_PATH,SOURCE_URL
1_DC12_SCO_Sideplates,DC12,,DC,Removable,Flat Springs,SCO Sideplates,,,12 GA,,Side by Side,"Sporting, Game",Fixed,,,Flat,Ramp,Step,Game,Perazzi_Model_Information/Model_Photos/game-side-x-side_dc12-sco-sideplates.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/DC12-SCO-intero.jpg,https://www.perazzi.it/en/dc12-sco-sideplates.php
2_DC12,DC12,,DC,Removable,Flat Springs,Standard,,,12 GA,,Side by Side,"Sporting, Game",Fixed,,,Flat,Ramp,Step,Game,Perazzi_Model_Information/Model_Photos/game-side-x-side_dc12.jpg,https://www.perazzi.it/img/modelli-fucili/da-caccia/DC12-12-intero.jpg,https://www.perazzi.it/en/dc12.php
3_High_Tech,High Tech,,HT,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/ht-intero.jpg,https://www.perazzi.it/en/high-tech.php
4_High_Tech_10,High Tech 10,,HT,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,,Top Single,Trap,Adjustable,4,17mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-10.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/ht-10-intero.jpg,https://www.perazzi.it/en/high-tech-10.php
5_High_Tech_2020,High Tech 2020,High Tech,HT,Removable,Flat Springs or Coil Springs,2020,,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-2020.jpg,https://www.perazzi.it/img/high-tech-palladium.jpg,https://www.perazzi.it/en/high-tech-2020.php
6_High_Tech_2024,High Tech 2024,High Tech,HT,Removable,Flat Springs or Coil Springs,2024,,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-2024.jpg,https://www.perazzi.it/img/high-tech-2024-intero.jpg,https://www.perazzi.it/en/high-tech-2024.php
7_High_Tech_3,High Tech 3,,HT,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-3.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/ht-3-intero.jpg,https://www.perazzi.it/en/high-tech-3.php
8_High_Tech_5,High Tech 5,,HT,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,,Over / Under,Trap,Adjustable,5,24mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-5.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/ht-5-intero.jpg,https://www.perazzi.it/en/high-tech-5.php
9_High_Tech_60th_Anniversary,High Tech 60th Anniversary,High Tech,HT,Removable,Flat Springs or Coil Springs,Limited Edition,,,12 GA,,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-60-platinum.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/ht-60-anniversary-intero.jpg,https://www.perazzi.it/en/high-tech-60-platinum.php
10_High_Tech_8,High Tech 8,,HT,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,,Over / Under,Trap,Adjustable,5,34mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-8.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/ht-8-intero.jpg,https://www.perazzi.it/en/high-tech-8.php
11_High_Tech_CO,High Tech CO,,HT,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,,Top Single,Trap,Fixed,,2mm,Ramp,,,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-co.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/ht-co-intero.jpg,https://www.perazzi.it/en/high-tech-co.php
12_High_Tech_P,High Tech P,High Tech,HT,Removable,Flat Springs or Coil Springs,P,,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-p.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/ht-p-3.jpg,https://www.perazzi.it/en/high-tech-p.php
13_High_Tech_RS,High Tech RS,,HT,Removable,Flat Springs or Coil Springs,Standard,,,12 GA,,Unsingle,Trap,Adjustable,4,10mm,Notch,,,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-rs.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/ht-rs-intero.jpg,https://www.perazzi.it/en/high-tech-rs.php
14_High_Tech_S,High Tech S,,HT,Fixed,Coil Springs,Standard,,,12 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,Step,Ramp,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-s.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/ht-s-intero.jpg,https://www.perazzi.it/en/high-tech-s.php
15_High_Tech_S_20,High Tech S 20,,HT,Fixed,Coil Springs,Standard,,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,,Competition,Perazzi_Model_Information/Model_Photos/competition-ht_high-tech-s20.jpg,https://www.perazzi.it/img/modelli-fucili/da-competizione/ht-s20-intero.jpg,https://www.perazzi.it/en/high-tech-s20.php
