ACCESSORY DESCRIPTION,PRICE
"SPARE PARTS SET (2 FIRING PINS, 2 FLAT SPRINGS, TOOLS)",$300.00
PAIR OF SNAP CAPS - ALLUMINIUM,$27.00
PAIR OF SNAP CAPS - NIKEL,$30.00
CHOKE TUBE,$140.00
CHOKE WRENCH,$55.00
HAMMER SPRING INSTALLATION TOOL,$49.00
COIL SPRING INSTALLATION TOOL,$140.00
STOCK WRENCH,$56.00
STOCK WRENCH FOR ADJUSTABLE STOCK,$56.00
ADJUSTABLE RIB FOR ALL MODEL EXCEPT HT,$988.00
ADJUSTABLE RIB FOR HT MODELS,"$1,780.00"
ADJUSTABLE RIB TOOL,$56.00
SET OF SPACERS FOR ADJUSTABLE COMB,$60.00
COMB FOR ADJUSTABLE STOCK IN WOOD OR SILICONE,$400.00
COMPLETE COMB FOR ADJUSTABLE STOCK IN WOOD OR SILICONE,$785.00
RECOIL PAD,$55.00
