MODEL & GRADE,BARREL TYPE,RIB TYPE,FRAME SIZE,BARREL GAUGE,PRICE
MX15 - MX10 - MX10RS - TM9X,SINGLE,,STANDARD,12,"$6,990.00"
MX2005 - MX2008,SINGLE,,STANDARD,12,"$6,990.00"
MX2000/8,SINGLE,,STANDARD,12,"$5,450.00"
MX14,SINGLE,,STANDARD,12,"$4,900.00"
MX8 - TM9,SINGLE,,STANDARD,12,"$5,450.00"
"STANDARD AND HT, HTX, HT P MODELS",O/U,FIXED,STANDARD,"12, 20","$6,960.00"
HT PLATINUM OR GOLD AND HT 2020 - 2024 ALL VERSIONS,O/U,FIXED,STANDARD,"12, 20","$7,470.00"
SC2,O/U,FIXED,STANDARD,"12, 20","$7,470.00"
SC3,O/U,FIXED,STANDARD,"12, 20","$7,470.00"
SCO - SCO GOLD - SCO SIDEPLATES - SCO GOLD SIDEPLATES,O/U,FIXED,STANDARD,"12, 20","$7,470.00"
EXTRA - EXTRA GOLD - EXTRA SUPER,O/U,FIXED,STANDARD,"12, 20","$8,800.00"
MX28 B-MX410 B,O/U,FIXED,SCALED,"28, 410","$8,640.00"
MX28-MX410,O/U,FIXED,SCALED,"28, 410","$8,760.00"
MX28-MX410 SC3,O/U,FIXED,SCALED,"28, 410","$8,760.00"
MX28-MX410 SCO - MX28-MX410 SCO GOLD,O/U,FIXED,SCALED,"28, 410","$8,760.00"
MX28-MX410 SCO SIDEPLATES - GOLD SIDEPLATES,O/U,FIXED,SCALED,"28, 410","$8,760.00"
MX28-MX410 EXTRA - EXTRA GOLD - EXTRA SUPER,O/U,FIXED,SCALED,"28, 410","$10,100.00"
MX16,O/U,FIXED,STANDARD,16,"$8,640.00"
MX16 SC2,O/U,FIXED,STANDARD,16,"$8,760.00"
MX16 SC3,O/U,FIXED,STANDARD,16,"$8,760.00"
MX16 SCO - SCO GOLD,O/U,FIXED,STANDARD,16,"$8,760.00"
MX16 SCO SIDEPLATES - SCO GOLD SIDEPLATES,O/U,FIXED,STANDARD,16,"$8,760.00"
DC,SXS,FIXED,STANDARD,"12, 20","$10,270.00"
DC SC2,SXS,FIXED,STANDARD,"12, 20","$11,570.00"
DC SC3,SXS,FIXED,STANDARD,"12, 20","$11,570.00"
DC SCO - SCO GOLD,SXS,FIXED,STANDARD,"12, 20","$11,570.00"
DC SCO SIDEPLATES - SCO GOLD SIDEPLATES,SXS,FIXED,STANDARD,"12, 20","$11,570.00"
DC EXTRA - EXTRA GOLD - EXTRA SUPER,SXS,FIXED,STANDARD,"12, 20","$15,350.00"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
