MODEL,PLATFORM,COMBO,VERSION,GAUGE,DISCIPLINE,TRIGGER TYPE,PRICE
HT,HT,NO,S/B,12,AMERICAN TRAP,REMOVABLE,"$15,900.00"
HT RS,HT,NO,S/B,12,AMERICAN TRAP,REMOVABLE,"$18,770.00"
HT 10,HT,NO,S/B,12,AMERICAN TRAP,REMOVABLE,"$18,770.00"
HTX,HT,NO,S/B,12,AMERICAN TRAP,REMOVABLE,"$20,550.00"
HTX RS,HT,NO,S/B,12,AMERICAN TRAP,REMOVABLE,"$23,420.00"
HTX 10,HT,NO,S/B,12,AMERICAN TRAP,REMOVABLE,"$23,420.00"
TM9,TM,NO,S/B,12,AMERICAN TRAP,REMOVABLE,"$12,600.00"
TM9X,TM,NO,S/B,12,AMERICAN TRAP,REMOVABLE,"$14,680.00"
MX15,MX,NO,S/B,12,AMERICAN TRAP,REMOVABLE,"$12,600.00"
MX8,MX,NO,S/B,12,AMERICAN TRAP,REMOVABLE,"$13,800.00"
MX10 - MX10RS,MX,NO,S/B,12,AMERICAN TRAP,REMOVABLE,"$15,900.00"
MX2000/8,MX,NO,S/B,12,AMERICAN TRAP,REMOVABLE,"$14,700.00"
MX2005,MX,NO,S/B,12,AMERICAN TRAP,REMOVABLE,"$16,780.00"
HT,HT,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$22,670.00"
HT RS,HT,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$27,870.00"
HT 10,HT,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$27,870.00"
HT X,HT,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$27,320.00"
HT X RS,HT,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$32,520.00"
HT X 10,HT,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$32,520.00"
HT 2020,HT,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$33,540.00"
HT 2020 RS,HT,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$38,740.00"
HT 2020 /10,HT,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$38,740.00"
MX8,MX,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$20,700.00"
MX8 SC3,MX,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$32,170.00"
MX8 SCO,MX,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$52,100.00"
MX8 SCO GOLD,MX,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$57,700.00"
MX8 SCO SIDEPLATES,MX,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$74,800.00"
MX8 SCO GOLD SIDEPLATES,MX,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$82,900.00"
MX2000/8,MX,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$22,670.00"
MX2000 S,MX,YES,S/B & O/U,12,AMERICAN TRAP,NON-REMOVABLE,"$23,000.00"
MX2000/10,MX,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$26,290.00"
MX2000/RS,MX,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$26,290.00"
MX2005,MX,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$26,290.00"
MX10,MX,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$24,390.00"
MX10 RS,MX,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$24,390.00"
MX14,MX,YES,S/B & O/U,12,AMERICAN TRAP,REMOVABLE,"$20,120.00"
HT,HT,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$22,670.00"
HT L,HT,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$25,790.00"
HT PLATINUM OR GOLD,HT,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$30,500.00"
HT SC3,HT,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$34,100.00"
HT SC3 GOLD,HT,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$39,020.00"
HT SCO,HT,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$51,800.00"
HT SCO GOLD,HT,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$56,700.00"
HT RS,HT,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$27,870.00"
HT RS SC3,HT,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$39,300.00"
HT RS SC3 GOLD,HT,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$44,220.00"
HT S,HT,YES,O/U & O/U,12,SKEET & SPORTING,NON-REMOVABLE,"$23,000.00"
HT S PLATINUM OR GOLD,HT,YES,O/U & O/U,12,SKEET & SPORTING,NON-REMOVABLE,"$30,880.00"
HT S SC3,HT,YES,O/U & O/U,12,SKEET & SPORTING,NON-REMOVABLE,"$34,140.00"
HT S SC3 GOLD,HT,YES,O/U & O/U,12,SKEET & SPORTING,NON-REMOVABLE,"$39,020.00"
HT S SCO,HT,YES,O/U & O/U,12,SKEET & SPORTING,NON-REMOVABLE,"$51,900.00"
HT S SCO GOLD,HT,YES,O/U & O/U,12,SKEET & SPORTING,NON-REMOVABLE,"$56,750.00"
HT X,HT,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$27,320.00"
HT 2020,HT,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$33,540.00"
HT 2020 3-5,HT,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$38,740.00"
HT S 2020,HT,YES,O/U & O/U,12,SKEET & SPORTING,NON-REMOVABLE,"$33,870.00"
MX8,MX,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$20,700.00"
MX8 SC3,MX,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$32,170.00"
MX8 SC3 GOLD,MX,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$37,050.00"
MX8 SCO,MX,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$52,100.00"
MX8 SCO GOLD,MX,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$57,780.00"
MX8 SCO SIDEPLATES,MX,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$74,800.00"
MX8 SCO GOLD SIDEPLATES,MX,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$83,000.00"
MX2000/8,MX,YES,O/U & O/U,12,SKEET & SPORTING,REMOVABLE,"$22,670.00"
MX2000S,MX,YES,O/U & O/U,12,SKEET & SPORTING,NON-REMOVABLE,"$23,580.00"
MX12,MX,YES,O/U & O/U,12,SKEET & SPORTING,NON-REMOVABLE,"$22,420.00"
MX12 SC3,MX,YES,O/U & O/U,12,SKEET & SPORTING,NON-REMOVABLE,"$32,170.00"
