WOOD GRADE,STOCK PRICE,FOREND PRICE
STANDARD MODEL: MX8 - MX12 - MX20 - MX1,"$1,730.00",$700.00
HT (STANDARD GRADE WOOD),"$1,870.00",$715.00
HTX - HT P,"$2,800.00",$730.00
HT PLATINUM OR GOLD,"$5,100.00",$840.00
HT 2020,"$2,800.00",$730.00
HT 2020 PALLADIUM OR GOLD,"$2,800.00",$730.00
MX2000,"$2,200.00",$725.00
SC2,"$2,800.00",$730.00
SC3,"$5,100.00",$840.00
SCO - SCO GOLD,"$6,700.00","$1,000.00"
SCO SIDEPLATES - SCO GOLD SIDEPLATES,"$8,400.00","$1,000.00"
EXTRA - EXTRA GOLD - EXTRA SUPER,"$10,000.00","$1,160.00"
MX28B - MX410B,"$1,730.00",$700.00
MX28 - MX410 - MX28 - MX410 SC3 - MX28 - MX410 SCO - MX28 - MX410 SCO GOLD,"$6,700.00","$1,000.00"
MX28 - MX410 SCO SIDEPLATES - MX28 - MX410 SCO GOLD SIDEPLATES,"$8,400.00","$1,000.00"
