DATABASE_ID,MODEL_NAME,BASE_MODEL,PLATFORM,TRIGGER_TYPE,TRIGGER_GROUP_SPRINGS,GRADE,COMBO,GAUGE_1,GAUGE_2,BARREL_CONFIG,DISCIPLINE,RIB_TYPE,RIB_ADJUSTABLE_NOTCH,RIB_HEIGHT,RIB_STYLE_1,RIB_STYLE_2,RIB_STYLE_3
1_DC,DC,DC,DC,Removable,Flat Springs or Coil Springs,Standard,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
2_DC_Extra,DC Extra,DC ,DC,Removable,Flat Springs or Coil Springs,Extra,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
3_DC_Extra_Gold,DC Extra Gold,DC ,DC,Removable,Flat Springs or Coil Springs,Extra Gold,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
4_DC_Extra_Super,DC Extra Super,DC ,DC,Removable,Flat Springs or Coil Springs,Extra Super,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
5_DC_SC2,DC SC2,DC ,DC,Removable,Flat Springs or Coil Springs,SC2,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
6_DC_SC3,DC SC3,DC ,DC,Removable,Flat Springs or Coil Springs,SC3,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
7_DC_SCO,DC SCO,DC ,DC,Removable,Flat Springs or Coil Springs,SCO,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
8_DC_SCO_Gold,DC SCO Gold,DC ,DC,Removable,Flat Springs or Coil Springs,SCO Gold,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
9_DC_SCO_Gold_Sideplates,DC SCO Gold Sideplates,DC ,DC,Removable,Flat Springs or Coil Springs,SCO Gold Sideplates,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
10_DC_SCO_Sideplates,DC SCO Sideplates,DC ,DC,Removable,Flat Springs or Coil Springs,SCO Sideplates,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
