id,run,cached,step,type,request_id,ip_addr,full_url,url,documentURL,is_secure,method,host,frame_id,responseCode,request_type,load_ms,ttfb_ms,load_start,load_start_float,bytesIn,objectSize,objectSizeUncompressed,expires,cacheControl,contentType,contentEncoding,socket,protocol,dns_start,dns_end,connect_start,connect_end,ssl_start,ssl_end,initiator,initiator_line,initiator_column,initiator_function,initiator_type,priority,initial_priority,bytesOut,score_cache,score_cdn,score_gzip,score_cookies,score_keep-alive,score_compress,dns_ms,connect_ms,ssl_ms,gzip_total,gzip_save,image_total,image_save,cache_time,cdn_provider,created,netlog_id,final_base_page,is_base_page,load_end,ttfb_start,ttfb_end,download_start,download_end,download_ms,all_start,all_end,all_ms,index,number,cpu.EvaluateScript,cpu.v8.compile,cpu.FunctionCall,cpuTime,renderBlocking,socket_group,http2_stream_id,http2_stream_dependency,http2_stream_weight,http2_stream_exclusive,tls_version,tls_resumed,tls_next_proto,tls_cipher_suite,server_port,
422512,1,0,Step_1,3,DC26FF53CB15346530BCC6E6C2FC9289,64.29.17.3,https://perazzi-site.vercel.app/heritage,/heritage,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Document,"1,383.00",940.00,64.00,64.00,243229,243229,2219248,,"private, no-cache, no-store, max-age=0, must-revalidate",text/html,br,95,HTTP/2,0.00,8.00,8.00,9.00,9.00,63.00,https://perazzi-site.vercel.app/_next/static/chunks/c4ed55bd840082e0.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,,,script,Highest,Highest,2167,-1,100,100,0,100,-1,8.00,1.00,54.00,244018,0,,,,Vercel,12,96,1,1,"1,447.00",64.00,"1,004.00","1,004.00","1,447.00",443.00,0.00,"1,447.00","1,446.00",0,1,116,50,,166.00,,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,1,0,256,1,TLS 1.3,False,h2,4865,443,
422512,1,0,Step_1,3,15718.2,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/783fe1b4808cbb2e.css?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/783fe1b4808cbb2e.css?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Stylesheet,25.00,19.00,"1,040.00","1,040.00",29513,29513,213632,,"public,max-age=31536000,immutable",text/css,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,,,,,other,Highest,Highest,2068,100,100,100,0,100,-1,-1.00,-1.00,-1.00,29513,0,,,"31,471,247.00",Vercel,1039,121,0,0,"1,065.00","1,040.00","1,059.00","1,059.00","1,065.00",6.00,"1,040.00","1,065.00",25.00,1,2,,,,,non_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,3,1,256,1,,,,,443,
422512,1,0,Step_1,3,15718.3,64.29.17.3,https://perazzi-site.vercel.app/_next/image?url=%2FPLW.png&w=128&q=75&dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/image?url=%2FPLW.png&w=128&q=75&dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Image,48.00,47.00,"1,079.00","1,079.00",1982,1982,1982,,"public, max-age=0, must-revalidate",image/webp,,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,2191,-1,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,1982,,Vercel,1075,135,0,0,"1,127.00","1,079.00","1,126.00","1,126.00","1,127.00",1.00,"1,079.00","1,127.00",48.00,2,3,,,,,non_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,5,1,147,1,,,,,443,
422512,1,0,Step_1,3,15718.4,64.29.17.3,https://perazzi-site.vercel.app/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Fm42h56wl%2Fproduction%2F666c0aaaf05d0a4a5216b5dbe9825a35eac067b1-1600x1200.jpg&w=1200&q=75,/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Fm42h56wl%2Fproduction%2F666c0aaaf05d0a4a5216b5dbe9825a35eac067b1-1600x1200.jpg&w=1200&q=75,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Image,25.00,17.00,"1,079.00","1,079.00",36710,36710,36710,,"public, max-age=2592000, must-revalidate",image/webp,,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,2404,100,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,36710,"2,527,907.00",Vercel,1077,141,0,0,"1,104.00","1,079.00","1,096.00","1,096.00","1,104.00",8.00,"1,079.00","1,104.00",25.00,3,4,,,,,non_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,7,5,147,1,,,,,443,
422512,1,0,Step_1,3,15718.6,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/c4ed55bd840082e0.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/c4ed55bd840082e0.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,52.00,38.00,"1,130.00","1,130.00",13312,13312,40510,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,13312,0,,,"31,513,568.00",Vercel,1112,162,0,0,"1,182.00","1,130.00","1,168.00","1,168.00","1,182.00",14.00,"1,130.00","1,182.00",52.00,4,5,84,1,,85.00,non_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,9,1,147,1,,,,,443,
422512,1,0,Step_1,3,15718.7,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/8de95f00554d7637.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/8de95f00554d7637.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,95.00,93.00,"1,140.00","1,140.00",7670,7670,33394,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,7670,0,,,"31,535,955.00",Vercel,1113,168,0,0,"1,235.00","1,140.00","1,233.00","1,233.00","1,235.00",2.00,"1,140.00","1,235.00",95.00,5,6,1,1,,2.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,11,9,147,1,,,,,443,
422512,1,0,Step_1,3,15718.8,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/89a15899c82d903e.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/89a15899c82d903e.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,60.00,53.00,"1,140.00","1,140.00",23406,23406,84689,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,23406,0,,,"31,513,568.00",Vercel,1113,174,0,0,"1,200.00","1,140.00","1,193.00","1,193.00","1,200.00",7.00,"1,140.00","1,200.00",60.00,6,7,3,1,21,25.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,13,11,147,1,,,,,443,
422512,1,0,Step_1,3,15718.9,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/3bf3f52339427a89.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/3bf3f52339427a89.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,85.00,26.00,"1,140.00","1,140.00",65082,65082,202087,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,65082,0,,,"31,535,955.00",Vercel,1116,180,0,0,"1,225.00","1,140.00","1,166.00","1,166.00","1,225.00",59.00,"1,140.00","1,225.00",85.00,7,8,9,7,419,435.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,15,13,147,1,,,,,443,
422512,1,0,Step_1,3,15718.10,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/1978183176b280c4.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/1978183176b280c4.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,52.00,44.00,"1,140.00","1,140.00",10895,10895,40056,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,1972,100,100,100,0,100,-1,-1.00,-1.00,-1.00,10895,0,,,"31,535,955.00",Vercel,1117,186,0,0,"1,192.00","1,140.00","1,184.00","1,184.00","1,192.00",8.00,"1,140.00","1,192.00",52.00,8,9,1,1,0,2.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,17,15,147,1,,,,,443,
422512,1,0,Step_1,3,15718.11,64.29.17.3,https://perazzi-site.vercel.app/_next/static/chunks/turbopack-2f1cba2f8d6bf4a1.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/turbopack-2f1cba2f8d6bf4a1.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,0B0D68981C006F5AFABC7FD609D1B84C,200,Script,88.00,75.00,"1,141.00","1,141.00",4435,4435,10726,,"public,max-age=31536000,immutable",application/javascript,br,95,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/heritage,0,,,parser,Low,Low,2002,100,100,100,0,100,-1,-1.00,-1.00,-1.00,4435,0,,,"31,535,955.00",Vercel,1117,192,0,0,"1,229.00","1,141.00","1,216.00","1,216.00","1,229.00",13.00,"1,141.00","1,229.00",88.00,9,10,10,1,,11.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,19,17,147,1,,,,,443,
