id,run,cached,step,type,request_id,ip_addr,full_url,url,documentURL,is_secure,method,host,frame_id,responseCode,request_type,load_ms,ttfb_ms,load_start,load_start_float,bytesIn,objectSize,objectSizeUncompressed,expires,cacheControl,contentType,contentEncoding,socket,protocol,dns_start,dns_end,connect_start,connect_end,ssl_start,ssl_end,initiator,initiator_line,initiator_column,initiator_function,initiator_type,priority,initial_priority,bytesOut,score_cache,score_cdn,score_gzip,score_cookies,score_keep-alive,score_compress,dns_ms,connect_ms,ssl_ms,gzip_total,gzip_save,image_total,image_save,cache_time,cdn_provider,created,netlog_id,final_base_page,is_base_page,load_end,ttfb_start,ttfb_end,download_start,download_end,download_ms,all_start,all_end,all_ms,index,number,cpu.EvaluateScript,cpu.v8.compile,cpu.FunctionCall,cpuTime,renderBlocking,socket_group,http2_stream_id,http2_stream_dependency,http2_stream_weight,http2_stream_exclusive,tls_version,tls_resumed,tls_next_proto,tls_cipher_suite,server_port,
422505,1,0,Step_1,3,9A0014BDDF0EDFC6F11CA2CAC5EFFA8A,64.29.17.131,https://perazzi-site.vercel.app/,/,,1,GET,perazzi-site.vercel.app,F92AB1C40BE2E367317B2DD316A15709,200,Document,"1,454.00","1,186.00",36.00,36.00,121174,121174,1092995,,"private, no-cache, no-store, max-age=0, must-revalidate",text/html,br,98,HTTP/2,1.00,6.00,6.00,7.00,7.00,35.00,https://perazzi-site.vercel.app/_next/static/chunks/9873ca98561119f6.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,,,script,Highest,Highest,2143,-1,100,100,0,100,-1,5.00,1.00,28.00,121839,0,,,,Vercel,6,99,1,1,"1,490.00",36.00,"1,222.00","1,222.00","1,490.00",268.00,1.00,"1,490.00","1,488.00",0,1,59,26,,85.00,,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,1,0,256,1,TLS 1.3,False,h2,4865,443,
422505,1,0,Step_1,3,73675.2,64.29.17.131,https://perazzi-site.vercel.app/_next/static/chunks/783fe1b4808cbb2e.css?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/783fe1b4808cbb2e.css?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,F92AB1C40BE2E367317B2DD316A15709,200,Stylesheet,127.00,107.00,"1,237.00","1,237.00",29513,29513,213632,,"public,max-age=31536000,immutable",text/css,br,98,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,,,,,other,Highest,Highest,2044,100,100,100,0,100,-1,-1.00,-1.00,-1.00,29513,0,,,"31,471,293.00",Vercel,1236,125,0,0,"1,364.00","1,237.00","1,344.00","1,344.00","1,364.00",20.00,"1,237.00","1,364.00",127.00,1,2,,,,,non_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,3,1,256,1,,,,,443,
422505,1,0,Step_1,3,73675.3,64.29.17.131,https://perazzi-site.vercel.app/_next/image?url=%2FPLW.png&w=128&q=75&dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/image?url=%2FPLW.png&w=128&q=75&dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,F92AB1C40BE2E367317B2DD316A15709,200,Image,284.00,284.00,"1,285.00","1,285.00",1982,1982,1982,,"public, max-age=0, must-revalidate",image/webp,,98,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/,0,,,parser,Low,Low,2167,-1,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,1982,,Vercel,1284,138,0,0,"1,569.00","1,285.00","1,569.00","1,569.00","1,569.00",0.00,"1,285.00","1,569.00",284.00,2,3,,,,,non_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,5,3,147,1,,,,,443,
422505,1,0,Step_1,3,73675.4,64.29.17.131,https://perazzi-site.vercel.app/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Fm42h56wl%2Fproduction%2Fe9058159a67292c1699259b4cc846f905f852804-3328x4992.jpg&w=1920&q=75,/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Fm42h56wl%2Fproduction%2Fe9058159a67292c1699259b4cc846f905f852804-3328x4992.jpg&w=1920&q=75,,1,GET,perazzi-site.vercel.app,F92AB1C40BE2E367317B2DD316A15709,200,Image,232.00,202.00,"1,314.00","1,314.00",389494,389494,389494,,"public, max-age=2592000, must-revalidate",image/webp,,98,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/,0,,,parser,Medium,Low,2380,100,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,389494,"2,537,625.00",Vercel,1295,144,0,0,"1,546.00","1,314.00","1,516.00","1,516.00","1,546.00",30.00,"1,314.00","1,546.00",232.00,3,4,,,,,non_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,7,1,183,1,,,,,443,
422505,1,0,Step_1,3,73675.6,64.29.17.131,https://perazzi-site.vercel.app/_next/static/chunks/c4ed55bd840082e0.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/c4ed55bd840082e0.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,F92AB1C40BE2E367317B2DD316A15709,200,Script,30.00,27.00,"1,325.00","1,325.00",13312,13312,40510,,"public,max-age=31536000,immutable",application/javascript,br,98,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/,0,,,parser,Low,Low,1948,100,100,100,0,100,-1,-1.00,-1.00,-1.00,13312,0,,,"31,513,614.00",Vercel,1297,150,0,0,"1,355.00","1,325.00","1,352.00","1,352.00","1,355.00",3.00,"1,325.00","1,355.00",30.00,4,5,1,1,,2.00,non_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,9,7,147,1,,,,,443,
422505,1,0,Step_1,3,73675.7,64.29.17.131,https://perazzi-site.vercel.app/_next/static/chunks/8de95f00554d7637.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/8de95f00554d7637.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,F92AB1C40BE2E367317B2DD316A15709,200,Script,297.00,295.00,"1,325.00","1,325.00",7670,7670,33394,,"public,max-age=31536000,immutable",application/javascript,br,98,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/,0,,,parser,Low,Low,1948,100,100,100,0,100,-1,-1.00,-1.00,-1.00,7670,0,,,"31,536,000.00",Vercel,1302,156,0,0,"1,622.00","1,325.00","1,620.00","1,620.00","1,622.00",2.00,"1,325.00","1,622.00",297.00,5,6,1,1,,1.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,11,5,147,1,,,,,443,
422505,1,0,Step_1,3,73675.8,64.29.17.131,https://perazzi-site.vercel.app/_next/static/chunks/89a15899c82d903e.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/89a15899c82d903e.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,F92AB1C40BE2E367317B2DD316A15709,200,Script,175.00,163.00,"1,326.00","1,326.00",23406,23406,84689,,"public,max-age=31536000,immutable",application/javascript,br,98,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/,0,,,parser,Low,Low,1948,100,100,100,0,100,-1,-1.00,-1.00,-1.00,23406,0,,,"31,513,614.00",Vercel,1305,162,0,0,"1,501.00","1,326.00","1,489.00","1,489.00","1,501.00",12.00,"1,326.00","1,501.00",175.00,6,7,3,2,25,30.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,13,11,147,1,,,,,443,
422505,1,0,Step_1,3,73675.9,64.29.17.131,https://perazzi-site.vercel.app/_next/static/chunks/3bf3f52339427a89.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/3bf3f52339427a89.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,F92AB1C40BE2E367317B2DD316A15709,200,Script,350.00,332.00,"1,326.00","1,326.00",65082,65082,202087,,"public,max-age=31536000,immutable",application/javascript,br,98,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/,0,,,parser,Low,Low,1948,100,100,100,0,100,-1,-1.00,-1.00,-1.00,65082,0,,,"31,536,000.00",Vercel,1306,168,0,0,"1,676.00","1,326.00","1,658.00","1,658.00","1,676.00",18.00,"1,326.00","1,676.00",350.00,7,8,50,5,368,423.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,15,13,147,1,,,,,443,
422505,1,0,Step_1,3,73675.10,64.29.17.131,https://perazzi-site.vercel.app/_next/static/chunks/1978183176b280c4.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/1978183176b280c4.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,F92AB1C40BE2E367317B2DD316A15709,200,Script,277.00,275.00,"1,326.00","1,326.00",10895,10895,40056,,"public,max-age=31536000,immutable",application/javascript,br,98,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/,0,,,parser,Low,Low,1948,100,100,100,0,100,-1,-1.00,-1.00,-1.00,10895,0,,,"31,536,000.00",Vercel,1307,174,0,0,"1,603.00","1,326.00","1,601.00","1,601.00","1,603.00",2.00,"1,326.00","1,603.00",277.00,8,9,2,1,0,3.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,17,15,147,1,,,,,443,
422505,1,0,Step_1,3,73675.11,64.29.17.131,https://perazzi-site.vercel.app/_next/static/chunks/turbopack-2f1cba2f8d6bf4a1.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,/_next/static/chunks/turbopack-2f1cba2f8d6bf4a1.js?dpl=dpl_92mxXNLyVFW46Tgwa8tYVp4JznTQ,,1,GET,perazzi-site.vercel.app,F92AB1C40BE2E367317B2DD316A15709,200,Script,293.00,291.00,"1,326.00","1,326.00",4435,4435,10726,,"public,max-age=31536000,immutable",application/javascript,br,98,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://perazzi-site.vercel.app/,0,,,parser,Low,Low,1978,100,100,100,0,100,-1,-1.00,-1.00,-1.00,4435,0,,,"31,536,000.00",Vercel,1308,180,0,0,"1,619.00","1,326.00","1,617.00","1,617.00","1,619.00",2.00,"1,326.00","1,619.00",293.00,9,10,6,0,,6.00,potentially_blocking,https://perazzi-site.vercel.app <https://perazzi-site.vercel.app same_site>,19,17,147,1,,,,,443,
